cost_scenario,gross_return,net_return,sharpe,sortino,calmar,max_drawdown,turnover,total_cost,run_id,asset,asset_class,model,retraining_frequency,hyperparameter_variant,feature_ablation,break_even_cost_bps
stress_15bps,0.7721440162492135,0.7713272588947191,3.397243980545844,7.46862519875828,4.623131975932632,-0.16684084791655074,1.0,0.0015,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,LightGBM,monthly_expanding,shallow_regularized,full,199.9969482421875
stress_25bps,0.7721440162492135,0.7707822304851366,3.391761445640515,7.360906354063001,4.5951623290111945,-0.16773775882058917,1.0,0.0025,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,LightGBM,monthly_expanding,shallow_regularized,full,199.9969482421875
diagnostic_0bps,0.0786797770554617,0.0786797770554617,0.4239012382791657,1.2788517993090756,0.13326998836306103,-0.5903788093769331,3.0,0.0,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,LightGBM,monthly_expanding,deeper_neighbor,full,199.9969482421875
realistic,0.0786797770554617,0.07788622309279614,0.42075102650822177,1.2643182613171104,0.13176913008662233,-0.5910809537984756,3.0,0.0024000000000000002,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,LightGBM,monthly_expanding,deeper_neighbor,full,199.9969482421875
stress_15bps,0.0786797770554617,0.07719141107382299,0.41799440658636605,1.251532849787091,0.13045803665882244,-0.5916953301673255,3.0,0.0045000000000000005,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,LightGBM,monthly_expanding,deeper_neighbor,full,199.9969482421875
stress_25bps,0.0786797770554617,0.07619808819277485,0.41405628263516814,1.233173985024953,0.1285885229627684,-0.5925730106942537,3.0,0.0075,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,LightGBM,monthly_expanding,deeper_neighbor,full,199.9969482421875
diagnostic_0bps,0.7721440162492135,0.7721440162492135,3.405440915173106,7.635068739914937,4.665650137203144,-0.16549548156049276,1.0,0.0,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,LightGBM,monthly_expanding,base,remove_momentum,199.9969482421875
realistic,0.7721440162492135,0.7717085294697303,3.4010732716623506,7.545561678472722,4.642888833746728,-0.1662130102837236,1.0,0.0008,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,LightGBM,monthly_expanding,base,remove_momentum,199.9969482421875
stress_15bps,0.7721440162492135,0.7713272588947191,3.397243980545844,7.46862519875828,4.623131975932632,-0.16684084791655074,1.0,0.0015,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,LightGBM,monthly_expanding,base,remove_momentum,199.9969482421875
stress_25bps,0.7721440162492135,0.7707822304851366,3.391761445640515,7.360906354063001,4.5951623290111945,-0.16773775882058917,1.0,0.0025,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,LightGBM,monthly_expanding,base,remove_momentum,199.9969482421875
diagnostic_0bps,0.7721440162492135,0.7721440162492135,3.405440915173106,7.635068739914937,4.665650137203144,-0.16549548156049276,1.0,0.0,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,LightGBM,monthly_expanding,base,remove_volatility,199.9969482421875
realistic,0.7721440162492135,0.7717085294697303,3.4010732716623506,7.545561678472722,4.642888833746728,-0.1662130102837236,1.0,0.0008,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,LightGBM,monthly_expanding,base,remove_volatility,199.9969482421875
stress_15bps,0.7721440162492135,0.7713272588947191,3.397243980545844,7.46862519875828,4.623131975932632,-0.16684084791655074,1.0,0.0015,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,LightGBM,monthly_expanding,base,remove_volatility,199.9969482421875
stress_25bps,0.7721440162492135,0.7707822304851366,3.391761445640515,7.360906354063001,4.5951623290111945,-0.16773775882058917,1.0,0.0025,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,LightGBM,monthly_expanding,base,remove_volatility,199.9969482421875
diagnostic_0bps,0.7721440162492135,0.7721440162492135,3.405440915173106,7.635068739914937,4.665650137203144,-0.16549548156049276,1.0,0.0,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,LightGBM,monthly_expanding,base,remove_volume,199.9969482421875
realistic,0.7721440162492135,0.7717085294697303,3.4010732716623506,7.545561678472722,4.642888833746728,-0.1662130102837236,1.0,0.0008,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,LightGBM,monthly_expanding,base,remove_volume,199.9969482421875
stress_15bps,0.7721440162492135,0.7713272588947191,3.397243980545844,7.46862519875828,4.623131975932632,-0.16684084791655074,1.0,0.0015,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,LightGBM,monthly_expanding,base,remove_volume,199.9969482421875
stress_25bps,0.7721440162492135,0.7707822304851366,3.391761445640515,7.360906354063001,4.5951623290111945,-0.16773775882058917,1.0,0.0025,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,LightGBM,monthly_expanding,base,remove_volume,199.9969482421875
diagnostic_0bps,0.7721440162492135,0.7721440162492135,3.405440915173106,7.635068739914937,4.665650137203144,-0.16549548156049276,1.0,0.0,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,LightGBM,monthly_expanding,base,remove_lagged_returns,199.9969482421875
realistic,0.7721440162492135,0.7717085294697303,3.4010732716623506,7.545561678472722,4.642888833746728,-0.1662130102837236,1.0,0.0008,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,LightGBM,monthly_expanding,base,remove_lagged_returns,199.9969482421875
stress_15bps,0.7721440162492135,0.7713272588947191,3.397243980545844,7.46862519875828,4.623131975932632,-0.16684084791655074,1.0,0.0015,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,LightGBM,monthly_expanding,base,remove_lagged_returns,199.9969482421875
stress_25bps,0.7721440162492135,0.7707822304851366,3.391761445640515,7.360906354063001,4.5951623290111945,-0.16773775882058917,1.0,0.0025,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,LightGBM,monthly_expanding,base,remove_lagged_returns,199.9969482421875
diagnostic_0bps,0.0786797770554617,0.0786797770554617,0.4239012382791657,1.2788517993090756,0.13326998836306103,-0.5903788093769331,3.0,0.0,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,LightGBM,monthly_expanding,base,noisy_full,199.9969482421875
realistic,0.0786797770554617,0.07788622309279614,0.42075102650822177,1.2643182613171104,0.13176913008662233,-0.5910809537984756,3.0,0.0024000000000000002,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,LightGBM,monthly_expanding,base,noisy_full,199.9969482421875
stress_15bps,0.0786797770554617,0.07719141107382299,0.41799440658636605,1.251532849787091,0.13045803665882244,-0.5916953301673255,3.0,0.0045000000000000005,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,LightGBM,monthly_expanding,base,noisy_full,199.9969482421875
stress_25bps,0.0786797770554617,0.07619808819277485,0.41405628263516814,1.233173985024953,0.1285885229627684,-0.5925730106942537,3.0,0.0075,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,LightGBM,monthly_expanding,base,noisy_full,199.9969482421875
diagnostic_0bps,0.26805565697093225,0.26805565697093225,4.481050174010049,0.0,0.0,0.0,1.0,0.0,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,weekly_expanding,base,full,199.9969482421875
realistic,0.26805565697093225,0.2668709987498983,4.4748441257912575,0.0,0.0,0.0,1.0,0.0008,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,weekly_expanding,base,full,199.9969482421875
stress_15bps,0.26805565697093225,0.2658345742333523,4.4684305409468905,0.0,0.0,0.0,1.0,0.0015,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,weekly_expanding,base,full,199.9969482421875
stress_25bps,0.26805565697093225,0.26435421310775054,4.457661180553115,0.0,0.0,0.0,1.0,0.0025,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,weekly_expanding,base,full,199.9969482421875
diagnostic_0bps,0.7721440162492135,0.7721440162492135,3.405440915173106,7.635068739914937,4.665650137203144,-0.16549548156049276,1.0,0.0,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,monthly_expanding,base,full,199.9969482421875
realistic,0.7721440162492135,0.7717085294697303,3.4010732716623506,7.545561678472722,4.642888833746728,-0.1662130102837236,1.0,0.0008,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,monthly_expanding,base,full,199.9969482421875
stress_15bps,0.7721440162492135,0.7713272588947191,3.397243980545844,7.46862519875828,4.623131975932632,-0.16684084791655074,1.0,0.0015,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,monthly_expanding,base,full,199.9969482421875
stress_25bps,0.7721440162492135,0.7707822304851366,3.391761445640515,7.360906354063001,4.5951623290111945,-0.16773775882058917,1.0,0.0025,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,monthly_expanding,base,full,199.9969482421875
diagnostic_0bps,-0.009798434348343599,-0.009798434348343599,0.04278880308299685,0.0835051221032909,-0.010694987509349196,-0.9161707145312828,1.0,0.0,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,quarterly_expanding,base,full,0.0
realistic,-0.009798434348343599,-0.009874423266859611,0.0423912810971635,0.08277248152868523,-0.010777929386131285,-0.916170714531283,1.0,0.0008,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,quarterly_expanding,base,full,0.0
stress_15bps,-0.009798434348343599,-0.00994095904864567,0.042043403069335517,0.08213003143374596,-0.010850553167628273,-0.916170714531283,1.0,0.0015,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,quarterly_expanding,base,full,0.0
stress_25bps,-0.009798434348343599,-0.010036083914584104,0.04154636224912808,0.0812100257649532,-0.010954381924026691,-0.916170714531283,1.0,0.0025,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,quarterly_expanding,base,full,0.0
diagnostic_0bps,0.7721440162492135,0.7721440162492135,3.405440915173106,7.635068739914937,4.665650137203144,-0.16549548156049276,1.0,0.0,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,monthly_rolling,base,full,199.9969482421875
realistic,0.7721440162492135,0.7717085294697303,3.4010732716623506,7.545561678472722,4.642888833746728,-0.1662130102837236,1.0,0.0008,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,monthly_rolling,base,full,199.9969482421875
stress_15bps,0.7721440162492135,0.7713272588947191,3.397243980545844,7.46862519875828,4.623131975932632,-0.16684084791655074,1.0,0.0015,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,monthly_rolling,base,full,199.9969482421875
stress_25bps,0.7721440162492135,0.7707822304851366,3.391761445640515,7.360906354063001,4.5951623290111945,-0.16773775882058917,1.0,0.0025,RP1_PUB005_TRUE_ROBUSTNESS_20260714T054241Z_7574f5fca030,SPY,etfs,XGBoost,monthly_rolling,base,full,199.9969482421875
